fr,tq,tx,dq,dx,x
18070.0,106.91121897871018,107.0712957926198,9.399556118262074e-05,9.22791327673292e-05,-260.52974886137247
18075.0,107.03080584100013,107.1908595547718,9.271030332474687e-05,9.10175867289207e-05,-248.8144923436057
18080.0,107.15050825113507,107.31053881893895,9.144140312346288e-05,8.977209349246156e-05,-243.19615676408296
18085.0,107.27032539222894,107.43033276764855,9.018867870702173e-05,8.854247462050992e-05,-241.44160728905973
18090.0,107.3902564389556,107.55024057502078,8.89519497906365e-05,8.732855323155954e-05,-244.69432716411262
18095.0,107.51030055800459,107.67026140722496,8.77310376638321e-05,8.613015398766376e-05,-254.99653556750422
18100.0,107.63045690854005,107.79039442293863,8.652576517813902e-05,8.494710308239486e-05,-253.2837075460227
18105.0,107.75072464266552,107.91063877381268,8.533595673508486e-05,8.37792282290946e-05,-242.4544561968633
18110.0,107.87110290589312,108.03099360494082,8.416143827448616e-05,8.262635864941895e-05,-239.59157746333864
18115.0,107.99159083761542,108.15145805533166,8.300203726304691e-05,8.148832506218328e-05,-242.10579678325877
18120.0,108.11218757158328,108.27203125838687,8.185758268321532e-05,8.036495967246003e-05,-246.32379764452185
18125.0,108.23289223638558,108.39271234238109,8.072790502232989e-05,7.925609616096001e-05,-253.77759029190378
18130.0,108.35370395593407,108.51350043094693,7.961283626200804e-05,7.816156967365082e-05,-243.8337342339637
18135.0,108.4746218499505,108.63439464356243,7.851220986779523e-05,7.708121681163039e-05,-242.27506740794206
18140.0,108.5956450344567,108.7553940960412,7.742586077905369e-05,7.601487562123509e-05,-241.13624445540063
18145.0,108.71677262226898,108.87649790102705,7.635362539906796e-05,7.496238558435987e-05,-245.50681410650316
18150.0,108.83800372349276,108.99770516848875,7.529534158539216e-05,7.392358760901521e-05,-250.0743797374239
18155.0,108.95933744602196,109.11901500621947,7.425084864038731e-05,7.289832402006975e-05,-255.23406425563837
18160.0,109.08077289603887,109.24042652033694,7.321998730197414e-05,7.188643855020389e-05,-244.79846387027408
18165.0,109.2023091785164,109.36193881578556,7.220259973457581e-05,7.088777633104929e-05,-244.18158809918958
18170.0,109.32394539772243,109.48355099684102,7.11985295202392e-05,6.990218388450285e-05,-247.25163502054852
18175.0,109.44568065772428,109.6052621676147,7.020762164994338e-05,6.892950911422387e-05,-258.2265184831828
18180.0,109.56751406289611,109.72707143256113,6.922972251505958e-05,6.79696012972794e-05,-261.3841461137985
